test_id,cart_vm_util,cart_perf_cpi,cart_perf_llc,cart_vm_netW,cart_vm_netR,cart_95th_latency,cart_cont_cpu5s_avg,cart_cont_memW5s_avg,cart_cont_memR5s_avg,cart_cont_netW5s_avg,cart_cont_netR5s_avg,catalogue_vm_util,catalogue_perf_cpi,catalogue_perf_llc,catalogue_vm_netW,catalogue_vm_netR,catalogue_95th_latency,catalogue_cont_cpu5s_avg,catalogue_cont_memW5s_avg,catalogue_cont_memR5s_avg,catalogue_cont_netW5s_avg,catalogue_cont_netR5s_avg,dispatch_vm_util,dispatch_perf_cpi,dispatch_perf_llc,dispatch_vm_netW,dispatch_vm_netR,dispatch_95th_latency,dispatch_cont_cpu5s_avg,dispatch_cont_memW5s_avg,dispatch_cont_memR5s_avg,dispatch_cont_netW5s_avg,dispatch_cont_netR5s_avg,mongodb_vm_util,mongodb_perf_cpi,mongodb_perf_llc,mongodb_vm_netW,mongodb_vm_netR,mongodb_95th_latency,mongodb_cont_cpu5s_avg,mongodb_cont_memW5s_avg,mongodb_cont_memR5s_avg,mongodb_cont_netW5s_avg,mongodb_cont_netR5s_avg,mysql_vm_util,mysql_perf_cpi,mysql_perf_llc,mysql_vm_netW,mysql_vm_netR,mysql_95th_latency,mysql_cont_cpu5s_avg,mysql_cont_memW5s_avg,mysql_cont_memR5s_avg,mysql_cont_netW5s_avg,mysql_cont_netR5s_avg,payment_vm_util,payment_perf_cpi,payment_perf_llc,payment_vm_netW,payment_vm_netR,payment_95th_latency,payment_cont_cpu5s_avg,payment_cont_memW5s_avg,payment_cont_memR5s_avg,payment_cont_netW5s_avg,payment_cont_netR5s_avg,rabbitmq_vm_util,rabbitmq_perf_cpi,rabbitmq_perf_llc,rabbitmq_vm_netW,rabbitmq_vm_netR,rabbitmq_95th_latency,rabbitmq_cont_cpu5s_avg,rabbitmq_cont_memW5s_avg,rabbitmq_cont_memR5s_avg,rabbitmq_cont_netW5s_avg,rabbitmq_cont_netR5s_avg,ratings_vm_util,ratings_perf_cpi,ratings_perf_llc,ratings_vm_netW,ratings_vm_netR,ratings_95th_latency,ratings_cont_cpu5s_avg,ratings_cont_memW5s_avg,ratings_cont_memR5s_avg,ratings_cont_netW5s_avg,ratings_cont_netR5s_avg,redis_vm_util,redis_perf_cpi,redis_perf_llc,redis_vm_netW,redis_vm_netR,redis_95th_latency,redis_cont_cpu5s_avg,redis_cont_memW5s_avg,redis_cont_memR5s_avg,redis_cont_netW5s_avg,redis_cont_netR5s_avg,shipping_vm_util,shipping_perf_cpi,shipping_perf_llc,shipping_vm_netW,shipping_vm_netR,shipping_95th_latency,shipping_cont_cpu5s_avg,shipping_cont_memW5s_avg,shipping_cont_memR5s_avg,shipping_cont_netW5s_avg,shipping_cont_netR5s_avg,user_vm_util,user_perf_cpi,user_perf_llc,user_vm_netW,user_vm_netR,user_95th_latency,user_cont_cpu5s_avg,user_cont_memW5s_avg,user_cont_memR5s_avg,user_cont_netW5s_avg,user_cont_netR5s_avg,web_vm_util,web_perf_cpi,web_perf_llc,web_vm_netW,web_vm_netR,web_95th_latency,web_cont_cpu5s_avg,web_cont_memW5s_avg,web_cont_memR5s_avg,web_cont_netW5s_avg,web_cont_netR5s_avg
May21_blue_15_stream_medium_3333311,1.2666666666666666,1.0327348908175769,158702.0606060606,0,0,47.79,0.01044850353333327,N/A,N/A,1331.7666666666667,1214.888888888889,1.4333333333333333,1.0413017315264386,233600.0909090909,0,0,69.77,0.007921146611110904,N/A,N/A,1148.6555555555558,992.9777777777778,1.1,1.0039328019548674,166867.9090909091,0,0,0,0.011723263499997454,N/A,N/A,45.2,200.43333333333334,1.4333333333333333,1.0711594466240508,138972.0909090909,0,0,0,0.013129667633334445,1638.4,N/A,2033.4,1599.9666666666667,1.5666666666666667,1.1256002404793788,199831.72727272726,0,0,0,0.4130185790000004,6280.533333333334,N/A,2358819.7,12543.066666666668,28.177777777777777,1.2238669289259703,1626491.8181818184,0,0,1969.3333333333333,0.04494798373333325,N/A,3947588.2666666666,1156.1666666666667,6160.133333333332,2.066666666666667,1.0020569353705027,151071.72727272726,0,0,0,0.12525317963333388,N/A,N/A,207.0,240.2,1.4555555555555557,1.0214948167927294,240821.36363636365,0,0,210.56923076923076,0.013708889322221295,N/A,N/A,1270.5111111111112,1427.7,1.1333333333333333,1.0453764286953386,92705.36363636363,0,0,0,0.0031563031666664186,N/A,N/A,740.2,1224.4,1.4555555555555555,1.056333629036123,168939.45454545456,0,0,64.86666666666666,0.11171774035555081,N/A,N/A,166780.72222222222,336299.56666666665,1.3,1.0397917279925832,185100.81818181818,0,0,63.75,0.005127253766666702,N/A,N/A,954.8666666666667,832.3333333333334,2.066666666666667,1.0020569353705027,151071.72727272726,0,0,13.0,0.024253340066666358,N/A,N/A,624712.7,622762.1666666666
May21_yellow_15_stream_high_3323311,1.4555555555555555,1.020365043661658,170360.0,0,0,44.035714285714285,0.00824234300000006,N/A,N/A,1384.7333333333333,1207.111111111111,1.4555555555555555,1.0320121799542632,213546.39393939392,0,0,76.72321428571429,0.00975655528888895,N/A,N/A,1694.2666666666667,1440.1555555555553,1.1333333333333333,0.9972630840369501,182244.27272727274,0,0,0,0.020362838800000796,N/A,N/A,43.53333333333333,222.06666666666666,1.9666666666666666,1.0552452120324036,148202.63636363635,0,0,0,0.01224894109999847,2184.5333333333333,N/A,2987.1666666666665,2203.733333333333,1.6,1.0798571854536558,118630.18181818182,0,0,0,0.21022018456666652,41369.6,N/A,839070.2,4913.966666666666,1.3333333333333333,1.026450601480252,168185.31818181818,0,0,1147.2727272727273,0.045940641583333414,N/A,N/A,1736.95,9597.333333333332,2.066666666666667,1.008981782961756,150669.63636363635,0,0,0,0.07396486549999584,N/A,N/A,248.26666666666668,268.0,1.4444444444444446,1.0427123797612656,252820.69696969693,0,0,169.32894736842104,0.014432445711111323,N/A,N/A,1174.0555555555557,1315.1444444444444,1.4666666666666666,1.0304661318441322,98978.36363636363,0,0,0,0.005597104733333443,N/A,N/A,821.2,1406.3333333333333,1.5666666666666664,1.0520323149212476,185898.9090909091,0,0,261.04347826086956,0.193085716688888,N/A,N/A,273476.9555555556,397367.1333333333,1.1333333333333333,1.051083026961193,217069.9090909091,0,0,55.89655172413793,0.009965156199999114,N/A,N/A,992.3333333333334,841.3,2.066666666666667,1.008981782961756,150669.63636363635,0,0,9.0,0.0474485959666661,N/A,N/A,802632.8333333334,800498.5333333333
May21_blue_15_stream_high_3333311,1.2666666666666666,1.0365560256434374,153426.2727272727,0,0,51.96590909090909,0.00846852990000018,N/A,N/A,545.4333333333333,483.8,5.1000000000000005,1.3117348875776225,713446.3333333334,0,0,64.35227272727273,0.008096910922222299,N/A,N/A,1216.0666666666666,1026.7666666666667,1.1666666666666667,1.025338348126014,160232.72727272726,0,0,0,0.009087077566668237,N/A,N/A,35.333333333333336,74.96666666666667,1.3333333333333333,1.0775702507965361,142273.54545454544,0,0,0,0.009766591166667619,819.2,N/A,2506.766666666667,1755.7333333333333,1.7666666666666666,1.1925096423219381,507833.9090909091,0,0,0,0.29605640553334067,27716.266666666666,N/A,892280.6666666666,5684.4,26.65555555555555,1.1943116659786028,1533722.6969696973,0,0,1235.0,0.017406743288889002,N/A,2247884.8,678.5777777777777,3619.5,1.8,1.032847772982545,128809.36363636363,0,0,0,0.08299275453334,N/A,N/A,103.3,163.43333333333334,1.5222222222222221,1.018987821540858,237422.9696969697,0,0,197.81034482758622,0.01067817465555597,N/A,N/A,1139.8555555555556,1260.7444444444445,1.1,1.0300695205803683,87566.81818181818,0,0,0,0.004619242599999988,N/A,N/A,826.3,1390.5666666666666,1.511111111111111,1.0512789396693398,165828.24242424243,0,0,231.16666666666666,0.12284194858888908,N/A,N/A,210647.9444444444,223193.14444444445,1.3,1.0272090533387874,177771.9090909091,0,0,25.083333333333332,0.008191735533333144,N/A,N/A,1196.7666666666667,1029.3666666666666,1.8,1.032847772982545,128809.36363636363,0,0,9.0,0.015311263700000192,N/A,N/A,722019.3,720335.2
May21_red_15_stream_low_2222211,1.0666666666666669,1.01048201509742,122598.59090909091,0,0,33.79012345679013,0.00844565926666648,N/A,N/A,1069.2833333333333,950.5333333333333,1.5833333333333335,1.012017204071674,145328.31818181818,0,0,62.42857142857143,0.01051635786666676,N/A,N/A,1946.4666666666667,1623.6166666666666,1.1,1.0115739789740998,150225.72727272726,0,0,0,0.016398961133332553,N/A,N/A,49.6,228.36666666666667,1.0333333333333334,1.0093900512207403,94971.45454545454,0,0,0,0.011601364133334378,1774.9333333333334,N/A,1848.3666666666666,1257.7,1.5333333333333334,1.0334977668314862,133428.63636363635,0,0,0,0.15505035660000127,32358.4,N/A,808321.3,6564.4,1.1166666666666667,0.9836470735970844,152864.4090909091,0,0,1096.3636363636363,0.02858970783333324,N/A,N/A,685.5166666666667,3828.05,1.9666666666666666,1.026540220984051,257862.81818181818,0,0,0,0.12245784176666348,N/A,N/A,131.23333333333332,136.83333333333334,6.783333333333333,1.349538525679765,1033677.3181818182,0,0,166.78571428571428,0.009053958566665798,N/A,N/A,796.8666666666667,844.8833333333332,1.2,1.0334641628226608,184159.63636363635,0,0,0,0.004517420866667029,N/A,N/A,493.3,839.8666666666667,1.4833333333333334,1.044689920906132,177072.18181818182,0,0,348.1818181818182,0.2275582443666598,N/A,N/A,598758.2,330607.48333333334,1.3,1.044567370394956,180393.18181818182,0,0,50.94230769230769,0.009710305000000592,N/A,N/A,1045.2333333333333,926.7,1.9666666666666666,1.026540220984051,257862.81818181818,0,0,17.0,0.027719820333333207,N/A,N/A,732761.3666666667,731592.5333333333
May21_green_15_stream_medium_3323311,1.4333333333333333,1.0563141073129472,193697.2727272727,0,0,57.99074074074074,0.009742773072816199,N/A,N/A,1327.9668902265187,1166.1160267334835,28.91111111111111,1.2309617527179997,2530628.787878788,0,0,793.7685185185185,0.04660432331564606,N/A,3923831.466666667,2036.3301686533007,1731.0395928979462,1.2666666666666666,1.0279368846428811,165713.9090909091,0,0,0,0.009074455065582472,N/A,N/A,27.70025118615685,110.13815238626849,1.7666666666666666,1.114485291190482,245359.63636363635,0,0,0,0.01297780264647947,795.1082209065321,N/A,2587.4340806884725,1732.2786243488952,1.4666666666666666,1.0859516555043447,126855.90909090909,0,0,0,0.19175411970724826,17247.468502489726,N/A,849773.9197273002,6511.312368412258,1.25,1.0204388298788398,153689.45454545453,0,0,1237.8947368421052,0.05044120344168734,N/A,N/A,1255.741447058721,7013.271554887902,2.0,1.018165937247905,130728.27272727272,0,0,0,0.0871490519002201,N/A,N/A,300.11719403984597,303.46559517830235,28.811111111111114,1.2215981823333977,2582384.393939394,0,0,665.1449275362319,0.04499666276508411,N/A,4230075.733333333,844.2177280193429,947.8308015824342,1.0666666666666667,1.0231093914365308,110860.18181818182,0,0,0,0.0038220398373168254,N/A,N/A,628.3628362836283,1048.4048404840485,1.488888888888889,1.0767185307071034,219636.42424242423,0,0,717.7368421052631,0.16859175070188392,N/A,N/A,358419.69071862265,221393.99412849385,1.2666666666666666,1.0572387194192814,183276.72727272726,0,0,26.339622641509433,0.009534382000000126,N/A,N/A,1333.8333333333333,1132.5333333333333,2.0,1.018165937247905,130728.27272727272,0,0,8.0,0.05484696594676084,N/A,N/A,1466083.3417043362,1463635.158211954
May21_yellow_15_stream_low_2212211,1.1666666666666665,1.0120202982244089,181302.0909090909,0,0,38.550561797752806,0.010439795279125776,N/A,N/A,1582.5829689860482,1418.5036256998133,1.35,1.0131140970534247,153884.86363636365,0,0,61.91208791208791,0.009469564299999612,N/A,N/A,2078.15,1691.0833333333335,1.2666666666666666,1.0069697574665204,277556.36363636365,0,0,0,0.01145674343333288,N/A,N/A,28.933333333333334,66.6,1.0666666666666667,1.0170708389822976,85047.81818181818,0,0,0,0.012595012163422467,1637.9632098107172,N/A,1898.8936283657692,1399.760063982938,1.5333333333333334,1.054833703567398,132615.81818181818,0,0,0,0.08988829723333538,N/A,N/A,661200.9666666667,3972.7,1.1,0.9726685833853245,192248.63636363635,0,0,1291.0,0.04672776899999936,N/A,N/A,1907.8333333333333,9869.766666666666,1.3666666666666667,1.052428119020676,122799.0,0,0,0,0.020156649133347554,N/A,N/A,98.86666666666666,96.86666666666666,1.5333333333333332,1.031318207907209,180132.31818181818,0,0,161.62295081967213,0.016424950366666854,N/A,N/A,1409.1,1615.1333333333332,1.1,1.0180675865996753,93485.81818181818,0,0,0,0.0038741744666666023,N/A,N/A,464.6333333333333,772.4,1.5333333333333332,1.0506512491080773,253223.36363636365,0,0,412.0,0.12190683066666991,N/A,N/A,69552.98333333332,249086.69999999998,1.3333333333333333,1.049946685550738,325768.7272727273,0,0,44.85,0.008157652633333137,N/A,N/A,1034.4666666666667,914.5333333333333,1.3666666666666667,1.052428119020676,122799.0,0,0,11.0,0.014333610266666597,N/A,N/A,89598.13333333333,88270.76666666666
May21_yellow_15_stream_medium_3333311,1.4333333333333333,1.020243929726465,173536.24242424243,0,0,46.75,0.010932209777777835,N/A,N/A,1228.011111111111,1098.3,1.4222222222222223,1.041460228001555,227367.1515151515,0,0,69.45689655172414,0.009040278722222359,N/A,N/A,1758.3777777777777,1515.288888888889,1.4333333333333333,1.0059097604703595,184971.0,0,0,0,0.01831382113333196,N/A,N/A,37.53333333333333,92.73333333333333,1.6333333333333333,1.0613951793351495,153675.18181818182,0,0,0,0.011972890799997533,1774.9333333333334,N/A,2664.633333333333,1912.4,1.5,1.087195483543078,142542.45454545456,0,0,0,0.31018913506666196,24166.4,N/A,874004.0666666667,5644.6,26.677777777777777,1.213552584553853,2183135.6969696973,0,0,1157.5,0.03804593507777782,N/A,1432156.2806044444,991.1555555555556,5230.677777777778,1.7333333333333334,1.036053724927708,126139.09090909091,0,0,0,0.015059008600004139,N/A,N/A,351.96666666666664,413.9,1.4111111111111112,1.0380767810652376,258884.0,0,0,180.07142857142858,0.01018366327777724,N/A,N/A,1126.9333333333332,1233.0777777777778,1.1333333333333333,1.0450931717186203,78679.09090909091,0,0,0,0.0032035809333327355,N/A,N/A,622.0333333333333,1055.7,1.5333333333333332,1.0530465432699059,185744.30303030307,0,0,933.4,0.08499054497777303,N/A,N/A,124597.76666666668,282645.05555555556,1.4,1.04757268544787,200798.36363636365,0,0,47.0,0.012590709600000121,N/A,N/A,1710.2333333333333,1451.4333333333334,1.7333333333333334,1.036053724927708,126139.09090909091,0,0,7.0,0.05260429409999953,N/A,N/A,999113.2,998064.8333333334
May21_blue_15_stream_high_3323311,1.4777777777777779,1.0437912034644152,180437.15151515152,0,0,40.672413793103445,0.00795651934444454,N/A,N/A,1049.2555555555555,929.5555555555557,4.633333333333333,1.256890907112674,677287.4848484849,0,0,60.689655172413794,0.00967384772960999,N/A,N/A,1283.7756346851302,1102.360145515435,1.1,1.0208830797135622,160508.45454545456,0,0,0,0.013185560266670867,N/A,N/A,45.733333333333334,254.83333333333334,1.8666666666666667,1.0805361368125879,198604.9090909091,0,0,0,0.008115936400001071,1228.8,N/A,2681.9333333333334,1999.3333333333333,1.7333333333333334,1.1341419222166325,540983.0,0,0,0,0.24331760723333293,22937.6,N/A,1055853.9666666666,6907.666666666667,41.7,1.2617932157215033,2188133.6363636362,0,0,1517.2727272727273,0.06340557991666707,N/A,3727223.466666667,1609.6166666666668,9223.4,2.6,1.0061619872464147,140712.63636363635,0,0,0,0.10316893313333822,N/A,N/A,405.7,484.43333333333334,1.5,1.006204997983126,262754.2121212121,0,0,161.02777777777777,0.014976466313657302,N/A,N/A,1550.1719701263628,1716.608187836421,1.1333333333333333,1.011116883595467,101161.36363636363,0,0,0,0.004301402633333376,N/A,N/A,823.2,1390.9666666666667,1.5888888888888888,1.0516918555843293,200627.0,0,0,366.08,0.21051055423332912,N/A,N/A,467466.88888888893,276896.1222222222,1.2,1.0606231907141956,199365.0909090909,0,0,49.0,0.01103169220000003,N/A,N/A,1474.0666666666666,1264.5333333333333,2.6,1.0061619872464147,140712.63636363635,0,0,12.0,0.07857144986666639,N/A,N/A,2011195.9333333333,2009222.4333333333
May21_blue_15_stream_medium_3323211,1.2111111111111112,1.020839753707164,134674.55555555553,0,0,44.45238095238095,0.0064121659000000745,N/A,N/A,692.4666666666667,619.1666666666666,1.3111111111111111,1.0285042391037442,210378.79365079364,0,0,63.54761904761905,0.009473868422222153,N/A,N/A,1600.1333333333332,1370.9666666666665,1.2666666666666666,1.008765575932858,157774.52380952382,0,0,0,0.01701962829999578,N/A,N/A,33.93333333333333,112.83333333333333,1.2,1.0228311448393514,92993.38095238095,0,0,0,0.011301657199999227,1228.8,N/A,2884.133333333333,2007.1666666666667,1.4333333333333333,1.0725294338246745,130956.85714285714,0,0,0,0.307235448066668,27716.266666666666,N/A,1535644.7666666666,8204.733333333334,39.35,1.2832590498468577,2192458.619047619,0,0,2321.25,0.03140756575000042,N/A,2559317.3333333335,512.3,2886.45,2.1,1.0389555628567801,128236.23809523809,0,0,0,0.12707436986667442,N/A,N/A,223.9,294.7,1.5888888888888888,1.0170282274233788,229500.2063492063,0,0,182.65,0.01220976565555587,N/A,N/A,1244.7111111111112,1386.0,1.5666666666666667,1.02188673751835,105925.04761904762,0,0,0,0.003126195266666798,N/A,N/A,390.7,649.3,1.5166666666666666,1.0335193192003638,178407.3333333333,0,0,788.75,0.2253270563166628,N/A,N/A,305890.88333333336,779661.55,1.3333333333333333,1.0405097554399019,173490.09523809524,0,0,59.83783783783784,0.008341200433332575,N/A,N/A,1007.2333333333333,860.6,2.1,1.0389555628567801,128236.23809523809,0,0,6.0,0.021688088700000205,N/A,N/A,801903.8333333334,799792.2
May21_yellow_15_stream_medium_2212211,1.0666666666666667,1.0066018730946955,125188.90909090909,0,0,37.395833333333336,0.008531873216666597,N/A,N/A,1195.1,1088.7833333333333,1.3,1.0354925166731952,148489.95454545453,0,0,64.32291666666667,0.008577589849999966,N/A,N/A,1547.2666666666667,1310.3000000000002,1.1666666666666667,0.994248011075062,172862.9090909091,0,0,0,0.011789579433332165,N/A,N/A,46.0,218.43333333333334,0.9666666666666667,1.0189557351143288,77514.90909090909,0,0,0,0.009493011266664552,1228.8,N/A,2675.5666666666666,2018.1,1.4333333333333333,1.081169783621522,120414.18181818182,0,0,0,0.09224820580000141,10649.6,N/A,654105.1666666666,4137.166666666667,1.0,0.9791783391126039,127282.54545454546,0,0,1213.3333333333333,0.058567678,N/A,N/A,2851.4,15432.066666666668,1.7666666666666666,1.0460050054424712,126366.45454545454,0,0,0,0.015418791566677706,N/A,N/A,167.93333333333334,164.26666666666668,1.4833333333333334,1.0442245186570176,157633.63636363635,0,0,147.1014492753623,0.01441318158333272,N/A,N/A,1014.55,1133.5,1.0333333333333334,1.0143887248609582,107349.54545454546,0,0,0,0.004163918699999651,N/A,N/A,711.3333333333334,1197.8,1.5666666666666667,1.0425305636206441,199120.31818181818,0,0,340.0,0.1488938041166757,N/A,N/A,301120.0333333334,446257.1333333333,1.2,1.0225775985480323,217059.0,0,0,77.85454545454546,0.01035915756666744,N/A,N/A,710.3,607.0333333333333,1.7666666666666666,1.0460050054424712,126366.45454545454,0,0,8.0,0.02256538556666641,N/A,N/A,444012.13333333336,443160.0333333333
May21_yellow_15_stream_medium_3323211,1.5,0.9943565270130309,154891.77777777778,0,0,39.375,0.007811733788888889,N/A,N/A,1087.0111111111112,974.4111111111112,1.4111111111111112,1.0163754022486373,203175.42857142855,0,0,67.875,0.008286713696553753,N/A,N/A,1657.36590199282,1398.8150811910239,2.1333333333333333,0.9824241465094529,180857.33333333334,0,0,0,0.013629044866665177,N/A,N/A,67.8,298.76666666666665,1.0333333333333334,1.013494736361802,95251.19047619047,0,0,0,0.012196485700000419,1365.3333333333333,N/A,2525.4,1830.8,1.6333333333333333,1.046063703434887,110019.90476190476,0,0,0,0.13809116901736995,24037.077790003666,N/A,1009084.2586109167,5560.1680504151245,1.2666666666666666,1.0003885609717704,164965.61904761905,0,0,1132.5,0.03312256145000004,N/A,N/A,1149.6333333333332,6189.849999999999,1.7666666666666666,1.0423284058079139,131595.0,0,0,0,0.11683856626665753,N/A,N/A,284.8,310.06666666666666,1.4222222222222223,1.0169972237878648,232629.55555555553,0,0,123.11864406779661,0.010149763455555435,N/A,N/A,1161.0111111111112,1275.0111111111112,1.2,1.0225421968117703,98305.42857142857,0,0,0,0.003365723900000243,N/A,N/A,705.3,1207.3333333333333,1.4166666666666665,1.0424961348773931,193861.59523809524,0,0,374.70588235294116,0.21796678043333675,N/A,N/A,260167.05,504321.69999999995,1.2,1.0509068019990637,203810.7142857143,0,0,23.8,0.0069342169333329665,N/A,N/A,842.2666666666667,713.9666666666667,1.7666666666666666,1.0423284058079139,131595.0,0,0,11.0,0.030305451299999692,N/A,N/A,397818.06666666665,397015.3333333333
May21_yellow_15_stream_medium_2222211,1.1833333333333333,1.013089469486662,143111.4090909091,0,0,40.07954545454545,0.01232242828333329,N/A,N/A,1786.35,1594.9833333333333,1.3666666666666667,1.0317842033053122,171656.2727272727,0,0,77.01136363636364,0.008098213733333163,N/A,N/A,1392.2166666666667,1138.1333333333332,1.3,1.0186625569702679,188386.45454545456,0,0,0,0.02115459590000152,N/A,N/A,41.93333333333333,142.0,1.0666666666666667,1.0075163820030562,97836.36363636363,0,0,0,0.013919111833333393,3686.4,N/A,2615.0333333333333,1763.4666666666667,1.6333333333333333,1.0620697856430714,139507.72727272726,0,0,0,0.23864361380000218,20480.0,N/A,1526735.1333333333,8821.866666666667,1.1333333333333333,0.9941306283485477,127230.22727272728,0,0,1000.0,0.020777429333333597,N/A,N/A,820.1166666666666,4638.766666666666,1.9666666666666666,1.0194050158126624,125881.72727272728,0,0,0,0.022538787366678054,N/A,N/A,56.3,55.03333333333333,1.6,1.025635213375976,180362.18181818182,0,0,212.8490566037736,0.0146581209833343,N/A,N/A,1609.35,1814.3833333333332,0.9666666666666667,1.0233334663504001,121147.63636363637,0,0,0,0.003812576800000045,N/A,N/A,605.7666666666667,1009.7333333333333,1.6166666666666667,1.0481864693494525,175662.68181818182,0,0,226.25,0.1264576838333293,N/A,N/A,172315.65,576110.6,1.3333333333333333,1.0452339022769446,185599.81818181818,0,0,37.8,0.009190467933333935,N/A,N/A,689.6666666666666,594.5333333333333,1.9666666666666666,1.0194050158126624,125881.72727272728,0,0,11.0,0.018583144100000483,N/A,N/A,353332.1666666667,351309.4666666667
