test_id,cart_vm_util,cart_perf_cpi,cart_perf_llc,cart_vm_netW,cart_vm_netR,cart_95th_latency,cart_cont_cpu5s_avg,cart_cont_memW5s_avg,cart_cont_memR5s_avg,cart_cont_netW5s_avg,cart_cont_netR5s_avg,catalogue_vm_util,catalogue_perf_cpi,catalogue_perf_llc,catalogue_vm_netW,catalogue_vm_netR,catalogue_95th_latency,catalogue_cont_cpu5s_avg,catalogue_cont_memW5s_avg,catalogue_cont_memR5s_avg,catalogue_cont_netW5s_avg,catalogue_cont_netR5s_avg,dispatch_vm_util,dispatch_perf_cpi,dispatch_perf_llc,dispatch_vm_netW,dispatch_vm_netR,dispatch_95th_latency,dispatch_cont_cpu5s_avg,dispatch_cont_memW5s_avg,dispatch_cont_memR5s_avg,dispatch_cont_netW5s_avg,dispatch_cont_netR5s_avg,mongodb_vm_util,mongodb_perf_cpi,mongodb_perf_llc,mongodb_vm_netW,mongodb_vm_netR,mongodb_95th_latency,mongodb_cont_cpu5s_avg,mongodb_cont_memW5s_avg,mongodb_cont_memR5s_avg,mongodb_cont_netW5s_avg,mongodb_cont_netR5s_avg,mysql_vm_util,mysql_perf_cpi,mysql_perf_llc,mysql_vm_netW,mysql_vm_netR,mysql_95th_latency,mysql_cont_cpu5s_avg,mysql_cont_memW5s_avg,mysql_cont_memR5s_avg,mysql_cont_netW5s_avg,mysql_cont_netR5s_avg,payment_vm_util,payment_perf_cpi,payment_perf_llc,payment_vm_netW,payment_vm_netR,payment_95th_latency,payment_cont_cpu5s_avg,payment_cont_memW5s_avg,payment_cont_memR5s_avg,payment_cont_netW5s_avg,payment_cont_netR5s_avg,rabbitmq_vm_util,rabbitmq_perf_cpi,rabbitmq_perf_llc,rabbitmq_vm_netW,rabbitmq_vm_netR,rabbitmq_95th_latency,rabbitmq_cont_cpu5s_avg,rabbitmq_cont_memW5s_avg,rabbitmq_cont_memR5s_avg,rabbitmq_cont_netW5s_avg,rabbitmq_cont_netR5s_avg,ratings_vm_util,ratings_perf_cpi,ratings_perf_llc,ratings_vm_netW,ratings_vm_netR,ratings_95th_latency,ratings_cont_cpu5s_avg,ratings_cont_memW5s_avg,ratings_cont_memR5s_avg,ratings_cont_netW5s_avg,ratings_cont_netR5s_avg,redis_vm_util,redis_perf_cpi,redis_perf_llc,redis_vm_netW,redis_vm_netR,redis_95th_latency,redis_cont_cpu5s_avg,redis_cont_memW5s_avg,redis_cont_memR5s_avg,redis_cont_netW5s_avg,redis_cont_netR5s_avg,shipping_vm_util,shipping_perf_cpi,shipping_perf_llc,shipping_vm_netW,shipping_vm_netR,shipping_95th_latency,shipping_cont_cpu5s_avg,shipping_cont_memW5s_avg,shipping_cont_memR5s_avg,shipping_cont_netW5s_avg,shipping_cont_netR5s_avg,user_vm_util,user_perf_cpi,user_perf_llc,user_vm_netW,user_vm_netR,user_95th_latency,user_cont_cpu5s_avg,user_cont_memW5s_avg,user_cont_memR5s_avg,user_cont_netW5s_avg,user_cont_netR5s_avg,web_vm_util,web_perf_cpi,web_perf_llc,web_vm_netW,web_vm_netR,web_95th_latency,web_cont_cpu5s_avg,web_cont_memW5s_avg,web_cont_memR5s_avg,web_cont_netW5s_avg,web_cont_netR5s_avg
May21_blue_15_stream_medium_3333311,1.2666666666666666,1.0327348908175769,158702.0606060606,0,0,47.79,0.01044850353333327,N/A,N/A,1331.7666666666667,1214.888888888889,1.4333333333333333,1.0413017315264386,233600.0909090909,0,0,69.77,0.007921146611110904,N/A,N/A,1148.6555555555558,992.9777777777778,1.1,1.0039328019548674,166867.9090909091,0,0,0,0.011723263499997454,N/A,N/A,45.2,200.43333333333334,1.4333333333333333,1.0711594466240508,138972.0909090909,0,0,0,0.013129667633334445,1638.4,N/A,2033.4,1599.9666666666667,1.5666666666666667,1.1256002404793788,199831.72727272726,0,0,0,0.4130185790000004,6280.533333333334,N/A,2358819.7,12543.066666666668,28.177777777777777,1.2238669289259703,1626491.8181818184,0,0,1969.3333333333333,0.04494798373333325,N/A,3947588.2666666666,1156.1666666666667,6160.133333333332,2.066666666666667,1.0020569353705027,151071.72727272726,0,0,0,0.12525317963333388,N/A,N/A,207.0,240.2,1.4555555555555557,1.0214948167927294,240821.36363636365,0,0,210.56923076923076,0.013708889322221295,N/A,N/A,1270.5111111111112,1427.7,1.1333333333333333,1.0453764286953386,92705.36363636363,0,0,0,0.0031563031666664186,N/A,N/A,740.2,1224.4,1.4555555555555555,1.056333629036123,168939.45454545456,0,0,64.86666666666666,0.11171774035555081,N/A,N/A,166780.72222222222,336299.56666666665,1.3,1.0397917279925832,185100.81818181818,0,0,63.75,0.005127253766666702,N/A,N/A,954.8666666666667,832.3333333333334,2.066666666666667,1.0020569353705027,151071.72727272726,0,0,13.0,0.024253340066666358,N/A,N/A,624712.7,622762.1666666666
May22_red_15_iperf_high_2222211,1.4166666666666665,1.0443941426599515,186359.54545454547,0,0,46.492063492063494,0.012626546049999673,N/A,N/A,1767.6333333333332,1529.3333333333335,1.2833333333333332,1.0456167729025863,158881.27272727274,0,0,80.2578125,0.010634912416666609,N/A,N/A,2879.0666666666666,2335.166666666667,1.1,1.0266317252661028,150146.0909090909,0,0,0,0.013208386099995549,N/A,N/A,47.13333333333333,224.46666666666667,1.5,1.0307919374180612,184718.0909090909,0,0,0,0.009825081499999062,1092.2666666666667,N/A,1496.3333333333333,1088.7666666666667,1.3333333333333333,1.0932944578093933,117837.09090909091,0,0,0,0.19182000370000574,15701.333333333334,N/A,1158289.8666666667,8376.533333333333,1.2833333333333332,1.0481374039531484,181684.54545454547,0,0,1536.5384615384614,0.03766167701666599,N/A,N/A,2840.5333333333333,15316.733333333334,34.46666666666667,1.234832046353407,15749596.545454545,0,0,0,0.018388656799985862,N/A,N/A,384.3,376.3,14.716666666666667,1.1002366645446773,8817860.863636365,0,0,160.57894736842104,0.018345631416667806,N/A,N/A,1882.8166666666666,2127.633333333333,33.86666666666667,1.200132792603677,13837964.090909092,0,0,0,0.0043919741999995186,N/A,N/A,844.3333333333334,1398.3333333333333,1.55,1.0435778976818446,195275.63636363635,0,0,171.5,0.2157274600833418,N/A,N/A,558349.9666666667,487361.60000000003,1.3,1.04087156081525,176620.63636363635,0,0,76.3623188405797,0.011785193099999938,N/A,N/A,1162.0666666666666,965.9333333333333,34.46666666666667,1.234832046353407,15749596.545454545,0,0,37.0,0.05547448919999927,N/A,N/A,1154891.4,1153439.9333333333
May21_yellow_15_stream_high_3323311,1.4555555555555555,1.020365043661658,170360.0,0,0,44.035714285714285,0.00824234300000006,N/A,N/A,1384.7333333333333,1207.111111111111,1.4555555555555555,1.0320121799542632,213546.39393939392,0,0,76.72321428571429,0.00975655528888895,N/A,N/A,1694.2666666666667,1440.1555555555553,1.1333333333333333,0.9972630840369501,182244.27272727274,0,0,0,0.020362838800000796,N/A,N/A,43.53333333333333,222.06666666666666,1.9666666666666666,1.0552452120324036,148202.63636363635,0,0,0,0.01224894109999847,2184.5333333333333,N/A,2987.1666666666665,2203.733333333333,1.6,1.0798571854536558,118630.18181818182,0,0,0,0.21022018456666652,41369.6,N/A,839070.2,4913.966666666666,1.3333333333333333,1.026450601480252,168185.31818181818,0,0,1147.2727272727273,0.045940641583333414,N/A,N/A,1736.95,9597.333333333332,2.066666666666667,1.008981782961756,150669.63636363635,0,0,0,0.07396486549999584,N/A,N/A,248.26666666666668,268.0,1.4444444444444446,1.0427123797612656,252820.69696969693,0,0,169.32894736842104,0.014432445711111323,N/A,N/A,1174.0555555555557,1315.1444444444444,1.4666666666666666,1.0304661318441322,98978.36363636363,0,0,0,0.005597104733333443,N/A,N/A,821.2,1406.3333333333333,1.5666666666666664,1.0520323149212476,185898.9090909091,0,0,261.04347826086956,0.193085716688888,N/A,N/A,273476.9555555556,397367.1333333333,1.1333333333333333,1.051083026961193,217069.9090909091,0,0,55.89655172413793,0.009965156199999114,N/A,N/A,992.3333333333334,841.3,2.066666666666667,1.008981782961756,150669.63636363635,0,0,9.0,0.0474485959666661,N/A,N/A,802632.8333333334,800498.5333333333
May22_yellow_15_iperf_low_3333311,1.3777777777777775,1.0259605137919214,198816.57575757577,0,0,42.73148148148148,0.008993626466666566,N/A,N/A,1153.5666666666666,1026.9888888888888,1.4222222222222223,1.0478059865552687,175363.9090909091,0,0,67.62037037037037,0.005952010511111065,N/A,N/A,1265.9666666666665,1066.0777777777778,1.2333333333333334,1.0342587280683346,186201.27272727274,0,0,0,0.013714614733339658,N/A,N/A,51.53333333333333,324.9,1.5666666666666667,1.0350501090360567,218446.0,0,0,0,0.01374540800000356,2321.0666666666666,N/A,2277.8,1749.0333333333333,1.4666666666666666,1.094464814354267,129120.72727272728,0,0,0,0.12767124096667432,15974.4,N/A,1184023.4,7024.966666666666,21.888888888888886,0.9805086409330926,4165768.848484849,0,0,1266.6666666666667,0.026090826688888392,N/A,N/A,1302.288888888889,7018.577777777777,2.2333333333333334,0.972295859778254,158370.0909090909,0,0,0,0.035602731966658516,N/A,N/A,442.1666666666667,432.7,1.4444444444444446,1.0211657959858909,161095.36363636365,0,0,161.10294117647058,0.010012545300000042,N/A,N/A,1355.0111111111112,1473.5,1.0666666666666667,1.0058022397574418,104467.72727272728,0,0,0,0.0027851546333333014,N/A,N/A,561.0666666666667,941.1666666666666,1.5777777777777777,1.041091516464938,233464.36363636365,0,0,101.48,0.1501486756888877,N/A,N/A,364818.3222222223,398782.7444444445,1.5666666666666667,1.069022123181088,297604.63636363635,0,0,75.42857142857143,0.009249445166667177,N/A,N/A,1562.5,1346.6,2.2333333333333334,0.972295859778254,158370.0909090909,0,0,26.0,0.06927123506666627,N/A,N/A,1671474.2666666666,1670217.8333333333
May21_blue_15_stream_high_3333311,1.2666666666666666,1.0365560256434374,153426.2727272727,0,0,51.96590909090909,0.00846852990000018,N/A,N/A,545.4333333333333,483.8,5.1000000000000005,1.3117348875776225,713446.3333333334,0,0,64.35227272727273,0.008096910922222299,N/A,N/A,1216.0666666666666,1026.7666666666667,1.1666666666666667,1.025338348126014,160232.72727272726,0,0,0,0.009087077566668237,N/A,N/A,35.333333333333336,74.96666666666667,1.3333333333333333,1.0775702507965361,142273.54545454544,0,0,0,0.009766591166667619,819.2,N/A,2506.766666666667,1755.7333333333333,1.7666666666666666,1.1925096423219381,507833.9090909091,0,0,0,0.29605640553334067,27716.266666666666,N/A,892280.6666666666,5684.4,26.65555555555555,1.1943116659786028,1533722.6969696973,0,0,1235.0,0.017406743288889002,N/A,2247884.8,678.5777777777777,3619.5,1.8,1.032847772982545,128809.36363636363,0,0,0,0.08299275453334,N/A,N/A,103.3,163.43333333333334,1.5222222222222221,1.018987821540858,237422.9696969697,0,0,197.81034482758622,0.01067817465555597,N/A,N/A,1139.8555555555556,1260.7444444444445,1.1,1.0300695205803683,87566.81818181818,0,0,0,0.004619242599999988,N/A,N/A,826.3,1390.5666666666666,1.511111111111111,1.0512789396693398,165828.24242424243,0,0,231.16666666666666,0.12284194858888908,N/A,N/A,210647.9444444444,223193.14444444445,1.3,1.0272090533387874,177771.9090909091,0,0,25.083333333333332,0.008191735533333144,N/A,N/A,1196.7666666666667,1029.3666666666666,1.8,1.032847772982545,128809.36363636363,0,0,9.0,0.015311263700000192,N/A,N/A,722019.3,720335.2
May22_blue_15_iperf_low_2212211,1.55,1.0712026061965831,209228.95454545453,0,0,35.4375,0.010484479783333268,N/A,N/A,1181.2,1072.6666666666667,1.35,1.0555162007437435,167145.0909090909,0,0,89.59821428571429,0.012532621416666778,N/A,N/A,2786.05,2292.3,0.9666666666666667,1.0020984539678766,141366.45454545456,0,0,0,0.016865914333334328,N/A,N/A,54.0,270.3,1.8,1.0794611463600459,221121.27272727274,0,0,0,0.01105978773333239,1638.4,N/A,2744.5,1975.7333333333333,1.4666666666666666,1.0914334343204437,136639.36363636365,0,0,0,0.16654794216666838,43417.6,N/A,1092377.4666666666,7420.166666666667,1.3,1.0629440660331204,197336.63636363635,0,0,1119.5454545454545,0.06655318046666707,N/A,N/A,3333.4666666666667,18719.133333333335,2.566666666666667,0.9922707342853342,160237.0,0,0,0,0.12667120980001223,N/A,N/A,344.9,339.9,1.4166666666666665,1.0209427261067554,198689.0,0,0,189.32051282051282,0.021715978600000165,N/A,N/A,2435.633333333333,2787.1,1.1666666666666667,0.9969943027923633,100291.18181818182,0,0,0,0.0028140629000006356,N/A,N/A,774.7666666666667,1305.2,1.6833333333333333,1.050938710081287,213295.68181818182,0,0,112.36363636363636,0.27822091029999735,N/A,N/A,754452.2166666667,412826.81666666665,1.2,1.0553808432334308,162739.63636363635,0,0,55.592592592592595,0.009966386433332749,N/A,N/A,520.8,451.6666666666667,2.566666666666667,0.9922707342853342,160237.0,0,0,8.0,0.06836813003333381,N/A,N/A,1368012.0666666667,1365744.2333333334
May22_yellow_15_iperf_medium_1111111,1.3333333333333333,1.0140318067281753,94382.19047619047,0,0,33.02272727272727,0.012033609099999391,N/A,N/A,2757.133333333333,2538.5,1.5333333333333334,1.0623808083066917,160640.66666666666,0,0,62.48863636363637,0.007085559033331871,N/A,N/A,104.0,92.16666666666667,1.1333333333333333,1.0037556194675044,164818.85714285713,0,0,0,0.015282164766669363,N/A,N/A,25.666666666666668,64.56666666666666,1.3333333333333333,1.0140318067281753,94382.19047619047,0,0,0,0.008912763366667301,546.1333333333333,N/A,2563.2,1759.8,1.5333333333333334,1.0623808083066917,160640.66666666666,0,0,0,0.16740942323332697,14199.466666666667,N/A,640898.9333333333,2630.266666666667,1.2,1.0149581306470836,194775.09523809524,0,0,1140.909090909091,0.03456789596666757,N/A,N/A,2012.4,10794.466666666667,1.9,1.0308290809406029,135838.85714285713,0,0,0,0.12033445860003364,N/A,N/A,148.16666666666666,145.23333333333332,1.5666666666666667,1.068211716063316,181526.09523809524,0,0,161.23214285714286,0.018231015499998192,N/A,N/A,689.1333333333333,752.0333333333333,21.066666666666666,0.9760872583837961,397961.7619047619,0,0,0,0.0067168928333330765,N/A,N/A,632.2,989.7666666666667,1.5666666666666667,1.068211716063316,181526.09523809524,0,0,186.8181818181818,0.33371780033332166,N/A,N/A,561575.5666666667,1065452.3666666667,1.2666666666666666,1.0501112034070836,214853.33333333334,0,0,58.31111111111111,0.00898670326666699,N/A,N/A,776.9333333333333,679.1666666666666,1.9,1.0308290809406029,135838.85714285713,0,0,7.0,0.026386335633333147,N/A,N/A,277217.8,275722.5333333333
May22_blue_15_iperf_medium_3323311,1.4222222222222223,1.043187551096146,169090.21212121213,0,0,39.169117647058826,0.008912018088888472,N/A,N/A,1541.722222222222,1380.322222222222,1.3111111111111111,1.0826678424417684,187012.303030303,0,0,73.72058823529412,0.012747524344444176,N/A,N/A,1854.8777777777777,1528.2444444444445,1.0333333333333334,1.012685826466164,134627.18181818182,0,0,0,0.016978511166666974,N/A,N/A,44.93333333333333,239.36666666666667,1.7666666666666666,1.0569550369446303,182571.54545454544,0,0,0,0.015354217599997354,955.7333333333333,N/A,2063.866666666667,1549.5333333333333,1.4333333333333333,1.1469890319864275,164987.63636363635,0,0,0,0.19740618599999682,40550.4,N/A,1104853.1333333333,8561.766666666666,1.6666666666666665,1.0570301982435897,177760.5909090909,0,0,1213.225806451613,0.03851027533333292,N/A,N/A,1531.9,8022.333333333333,3.033333333333333,1.0195451012969345,187311.27272727274,0,0,0,0.12622157949999746,N/A,N/A,371.1666666666667,362.9,1.4222222222222223,1.0316231305286045,156420.66666666666,0,0,159.94444444444446,0.014305090111110473,N/A,N/A,1765.0777777777778,1980.6666666666667,32.1,0.8897321182012107,822109.2727272727,0,0,0,0.004395962133333834,N/A,N/A,1259.8333333333333,2147.4,1.711111111111111,1.0742462784998863,213194.63636363635,0,0,93.7741935483871,0.15137316092222666,N/A,N/A,555345.2555555556,250802.77777777775,1.6333333333333333,1.102156113384515,280810.36363636365,0,0,59.323076923076925,0.00922362143333165,N/A,N/A,1195.5666666666666,1047.4666666666667,3.033333333333333,1.0195451012969345,187311.27272727274,0,0,10.0,0.051345561800000425,N/A,N/A,1867696.0,1864778.9333333333
May21_red_15_stream_low_2222211,1.0666666666666669,1.01048201509742,122598.59090909091,0,0,33.79012345679013,0.00844565926666648,N/A,N/A,1069.2833333333333,950.5333333333333,1.5833333333333335,1.012017204071674,145328.31818181818,0,0,62.42857142857143,0.01051635786666676,N/A,N/A,1946.4666666666667,1623.6166666666666,1.1,1.0115739789740998,150225.72727272726,0,0,0,0.016398961133332553,N/A,N/A,49.6,228.36666666666667,1.0333333333333334,1.0093900512207403,94971.45454545454,0,0,0,0.011601364133334378,1774.9333333333334,N/A,1848.3666666666666,1257.7,1.5333333333333334,1.0334977668314862,133428.63636363635,0,0,0,0.15505035660000127,32358.4,N/A,808321.3,6564.4,1.1166666666666667,0.9836470735970844,152864.4090909091,0,0,1096.3636363636363,0.02858970783333324,N/A,N/A,685.5166666666667,3828.05,1.9666666666666666,1.026540220984051,257862.81818181818,0,0,0,0.12245784176666348,N/A,N/A,131.23333333333332,136.83333333333334,6.783333333333333,1.349538525679765,1033677.3181818182,0,0,166.78571428571428,0.009053958566665798,N/A,N/A,796.8666666666667,844.8833333333332,1.2,1.0334641628226608,184159.63636363635,0,0,0,0.004517420866667029,N/A,N/A,493.3,839.8666666666667,1.4833333333333334,1.044689920906132,177072.18181818182,0,0,348.1818181818182,0.2275582443666598,N/A,N/A,598758.2,330607.48333333334,1.3,1.044567370394956,180393.18181818182,0,0,50.94230769230769,0.009710305000000592,N/A,N/A,1045.2333333333333,926.7,1.9666666666666666,1.026540220984051,257862.81818181818,0,0,17.0,0.027719820333333207,N/A,N/A,732761.3666666667,731592.5333333333
May21_green_15_stream_medium_3323311,1.4333333333333333,1.0563141073129472,193697.2727272727,0,0,57.99074074074074,0.009742773072816199,N/A,N/A,1327.9668902265187,1166.1160267334835,28.91111111111111,1.2309617527179997,2530628.787878788,0,0,793.7685185185185,0.04660432331564606,N/A,3923831.466666667,2036.3301686533007,1731.0395928979462,1.2666666666666666,1.0279368846428811,165713.9090909091,0,0,0,0.009074455065582472,N/A,N/A,27.70025118615685,110.13815238626849,1.7666666666666666,1.114485291190482,245359.63636363635,0,0,0,0.01297780264647947,795.1082209065321,N/A,2587.4340806884725,1732.2786243488952,1.4666666666666666,1.0859516555043447,126855.90909090909,0,0,0,0.19175411970724826,17247.468502489726,N/A,849773.9197273002,6511.312368412258,1.25,1.0204388298788398,153689.45454545453,0,0,1237.8947368421052,0.05044120344168734,N/A,N/A,1255.741447058721,7013.271554887902,2.0,1.018165937247905,130728.27272727272,0,0,0,0.0871490519002201,N/A,N/A,300.11719403984597,303.46559517830235,28.811111111111114,1.2215981823333977,2582384.393939394,0,0,665.1449275362319,0.04499666276508411,N/A,4230075.733333333,844.2177280193429,947.8308015824342,1.0666666666666667,1.0231093914365308,110860.18181818182,0,0,0,0.0038220398373168254,N/A,N/A,628.3628362836283,1048.4048404840485,1.488888888888889,1.0767185307071034,219636.42424242423,0,0,717.7368421052631,0.16859175070188392,N/A,N/A,358419.69071862265,221393.99412849385,1.2666666666666666,1.0572387194192814,183276.72727272726,0,0,26.339622641509433,0.009534382000000126,N/A,N/A,1333.8333333333333,1132.5333333333333,2.0,1.018165937247905,130728.27272727272,0,0,8.0,0.05484696594676084,N/A,N/A,1466083.3417043362,1463635.158211954
