Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1625268731,1,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1625268732,5,,Aggregated,0.000000,0.000000,14,19,29,62,220,360,550,550,550,550,550,30,0,13,56.18055574595928,5.470309406518936,550.7736736908555,482.26666666666665
1625268733,10,,Aggregated,0.000000,0.000000,15,26,62,74,100,220,550,550,550,550,550,41,0,15,54.75542744303622,5.470309406518936,550.7736736908555,489.1219512195122
1625268734,15,,Aggregated,28.000000,0.000000,15,61,95,100,220,550,1800,1900,1900,1900,1900,64,4,14,118.76615956134629,4.607124254107475,1870.0536359101534,454.296875
1625268735,20,,Aggregated,17.500000,0.000000,16,61,95,100,150,550,1800,1900,1900,1900,1900,79,5,16,105.25089251231167,4.607124254107475,1870.0536359101534,452.7974683544304
1625268736,25,,Aggregated,18.000000,0.000000,17,61,81,95,110,270,630,1800,1900,1900,1900,117,6,17,85.49198663483064,3.455953672528267,1870.0536359101534,497.65811965811963
1625268737,30,,Aggregated,18.500000,1.000000,17,47,74,88,100,210,630,1800,1900,1900,1900,150,9,17,74.07082041104634,3.455953672528267,1870.0536359101534,454.24
1625268738,30,,Aggregated,18.500000,1.000000,17,42,74,86,100,210,550,1800,1900,1900,1900,156,9,17,72.26174506836404,3.455953672528267,1870.0536359101534,443.1602564102564
1625268739,30,,Aggregated,23.500000,1.500000,17,39,74,87,100,200,550,1800,1900,1900,1900,165,9,17,70.13669312564713,3.455953672528267,1870.0536359101534,451.42424242424244
1625268740,30,,Aggregated,22.285714,1.285714,14,29,68,77,100,150,360,630,1900,1900,1900,212,13,14,60.31243717473633,3.455953672528267,1870.0536359101534,451.061320754717
1625268741,30,,Aggregated,19.500000,1.125000,14,27,62,76,100,150,550,1800,3000,3000,3000,227,15,14,70.8204708944202,3.455953672528267,3040.9429436549544,452.3612334801762
1625268742,30,,Aggregated,22.111111,1.222222,14,24,61,74,100,150,550,1800,3000,3000,3000,242,16,13,67.76684248234984,3.455953672528267,3040.9429436549544,452.25206611570246
1625268743,30,,Aggregated,21.300000,1.400000,13,24,61,74,100,150,360,1800,3000,3000,3000,256,17,12,65.35023347169044,3.455953672528267,3040.9429436549544,453.328125
