#test_id/duration/rate/con/zone/i_level/{configuration}/start_position/end_position
May23_red_20_stream_low_1111111/60/stream/20/red/low/{'cart': 1, 'ratings': 1, 'web': 1, 'shipping': 1, 'catalogue': 1, 'user': 1, 'payment': 1}/5/35
May23_red_25_stream_low_1111111/60/stream/25/red/low/{'cart': 1, 'ratings': 1, 'web': 1, 'shipping': 1, 'catalogue': 1, 'user': 1, 'payment': 1}/5/35
May23_red_20_stream_medium_1111111/60/stream/20/red/medium/{'cart': 1, 'ratings': 1, 'web': 1, 'shipping': 1, 'catalogue': 1, 'user': 1, 'payment': 1}/5/35
May23_red_25_stream_medium_1111111/60/stream/25/red/medium/{'cart': 1, 'ratings': 1, 'web': 1, 'shipping': 1, 'catalogue': 1, 'user': 1, 'payment': 1}/5/35
May23_red_20_stream_high_1111111/60/stream/20/red/high/{'cart': 1, 'ratings': 1, 'web': 1, 'shipping': 1, 'catalogue': 1, 'user': 1, 'payment': 1}/5/35
May23_red_25_stream_high_1111111/60/stream/25/red/high/{'cart': 1, 'ratings': 1, 'web': 1, 'shipping': 1, 'catalogue': 1, 'user': 1, 'payment': 1}/5/35
May23_red_20_iperf_low_1111111/60/iperf/20/red/low/{'cart': 1, 'ratings': 1, 'web': 1, 'shipping': 1, 'catalogue': 1, 'user': 1, 'payment': 1}/5/35
May23_red_25_iperf_low_1111111/60/iperf/25/red/low/{'cart': 1, 'ratings': 1, 'web': 1, 'shipping': 1, 'catalogue': 1, 'user': 1, 'payment': 1}/5/35
May23_red_20_iperf_medium_1111111/60/iperf/20/red/medium/{'cart': 1, 'ratings': 1, 'web': 1, 'shipping': 1, 'catalogue': 1, 'user': 1, 'payment': 1}/5/35
May23_red_25_iperf_medium_1111111/60/iperf/25/red/medium/{'cart': 1, 'ratings': 1, 'web': 1, 'shipping': 1, 'catalogue': 1, 'user': 1, 'payment': 1}/5/35
May23_red_20_iperf_high_1111111/60/iperf/20/red/high/{'cart': 1, 'ratings': 1, 'web': 1, 'shipping': 1, 'catalogue': 1, 'user': 1, 'payment': 1}/5/35
May23_red_25_iperf_high_1111111/60/iperf/25/red/high/{'cart': 1, 'ratings': 1, 'web': 1, 'shipping': 1, 'catalogue': 1, 'user': 1, 'payment': 1}/5/35
May23_green_20_stream_low_1111111/60/stream/20/green/low/{'cart': 1, 'ratings': 1, 'web': 1, 'shipping': 1, 'catalogue': 1, 'user': 1, 'payment': 1}/5/35
May23_green_25_stream_low_1111111/60/stream/25/green/low/{'cart': 1, 'ratings': 1, 'web': 1, 'shipping': 1, 'catalogue': 1, 'user': 1, 'payment': 1}/5/35
May23_green_20_stream_medium_1111111/60/stream/20/green/medium/{'cart': 1, 'ratings': 1, 'web': 1, 'shipping': 1, 'catalogue': 1, 'user': 1, 'payment': 1}/5/35
May23_green_25_stream_medium_1111111/60/stream/25/green/medium/{'cart': 1, 'ratings': 1, 'web': 1, 'shipping': 1, 'catalogue': 1, 'user': 1, 'payment': 1}/5/35
May23_green_20_stream_high_1111111/60/stream/20/green/high/{'cart': 1, 'ratings': 1, 'web': 1, 'shipping': 1, 'catalogue': 1, 'user': 1, 'payment': 1}/5/35
May23_green_25_stream_high_1111111/60/stream/25/green/high/{'cart': 1, 'ratings': 1, 'web': 1, 'shipping': 1, 'catalogue': 1, 'user': 1, 'payment': 1}/5/35
May23_green_20_iperf_low_1111111/60/iperf/20/green/low/{'cart': 1, 'ratings': 1, 'web': 1, 'shipping': 1, 'catalogue': 1, 'user': 1, 'payment': 1}/5/35
May23_green_25_iperf_low_1111111/60/iperf/25/green/low/{'cart': 1, 'ratings': 1, 'web': 1, 'shipping': 1, 'catalogue': 1, 'user': 1, 'payment': 1}/5/35
May23_green_20_iperf_medium_1111111/60/iperf/20/green/medium/{'cart': 1, 'ratings': 1, 'web': 1, 'shipping': 1, 'catalogue': 1, 'user': 1, 'payment': 1}/5/35
May23_green_25_iperf_medium_1111111/60/iperf/25/green/medium/{'cart': 1, 'ratings': 1, 'web': 1, 'shipping': 1, 'catalogue': 1, 'user': 1, 'payment': 1}/5/35
May23_green_20_iperf_high_1111111/60/iperf/20/green/high/{'cart': 1, 'ratings': 1, 'web': 1, 'shipping': 1, 'catalogue': 1, 'user': 1, 'payment': 1}/5/35
May23_green_25_iperf_high_1111111/60/iperf/25/green/high/{'cart': 1, 'ratings': 1, 'web': 1, 'shipping': 1, 'catalogue': 1, 'user': 1, 'payment': 1}/5/35
May23_blue_20_stream_low_1111111/60/stream/20/blue/low/{'cart': 1, 'ratings': 1, 'web': 1, 'shipping': 1, 'catalogue': 1, 'user': 1, 'payment': 1}/5/35
May23_blue_25_stream_low_1111111/60/stream/25/blue/low/{'cart': 1, 'ratings': 1, 'web': 1, 'shipping': 1, 'catalogue': 1, 'user': 1, 'payment': 1}/5/35
May23_blue_20_stream_medium_1111111/60/stream/20/blue/medium/{'cart': 1, 'ratings': 1, 'web': 1, 'shipping': 1, 'catalogue': 1, 'user': 1, 'payment': 1}/5/35
May23_blue_25_stream_medium_1111111/60/stream/25/blue/medium/{'cart': 1, 'ratings': 1, 'web': 1, 'shipping': 1, 'catalogue': 1, 'user': 1, 'payment': 1}/5/35
May23_blue_20_stream_high_1111111/60/stream/20/blue/high/{'cart': 1, 'ratings': 1, 'web': 1, 'shipping': 1, 'catalogue': 1, 'user': 1, 'payment': 1}/5/35
May23_blue_25_stream_high_1111111/60/stream/25/blue/high/{'cart': 1, 'ratings': 1, 'web': 1, 'shipping': 1, 'catalogue': 1, 'user': 1, 'payment': 1}/5/35
May23_blue_20_iperf_low_1111111/60/iperf/20/blue/low/{'cart': 1, 'ratings': 1, 'web': 1, 'shipping': 1, 'catalogue': 1, 'user': 1, 'payment': 1}/5/35
