test_id,cart_vm_util,cart_perf_cpi,cart_perf_llc,cart_vm_netW,cart_vm_netR,cart_95th_latency,cart_cont_cpu5s_avg,cart_cont_memW5s_avg,cart_cont_memR5s_avg,cart_cont_netW5s_avg,cart_cont_netR5s_avg,catalogue_vm_util,catalogue_perf_cpi,catalogue_perf_llc,catalogue_vm_netW,catalogue_vm_netR,catalogue_95th_latency,catalogue_cont_cpu5s_avg,catalogue_cont_memW5s_avg,catalogue_cont_memR5s_avg,catalogue_cont_netW5s_avg,catalogue_cont_netR5s_avg,dispatch_vm_util,dispatch_perf_cpi,dispatch_perf_llc,dispatch_vm_netW,dispatch_vm_netR,dispatch_95th_latency,dispatch_cont_cpu5s_avg,dispatch_cont_memW5s_avg,dispatch_cont_memR5s_avg,dispatch_cont_netW5s_avg,dispatch_cont_netR5s_avg,mongodb_vm_util,mongodb_perf_cpi,mongodb_perf_llc,mongodb_vm_netW,mongodb_vm_netR,mongodb_95th_latency,mongodb_cont_cpu5s_avg,mongodb_cont_memW5s_avg,mongodb_cont_memR5s_avg,mongodb_cont_netW5s_avg,mongodb_cont_netR5s_avg,mysql_vm_util,mysql_perf_cpi,mysql_perf_llc,mysql_vm_netW,mysql_vm_netR,mysql_95th_latency,mysql_cont_cpu5s_avg,mysql_cont_memW5s_avg,mysql_cont_memR5s_avg,mysql_cont_netW5s_avg,mysql_cont_netR5s_avg,payment_vm_util,payment_perf_cpi,payment_perf_llc,payment_vm_netW,payment_vm_netR,payment_95th_latency,payment_cont_cpu5s_avg,payment_cont_memW5s_avg,payment_cont_memR5s_avg,payment_cont_netW5s_avg,payment_cont_netR5s_avg,rabbitmq_vm_util,rabbitmq_perf_cpi,rabbitmq_perf_llc,rabbitmq_vm_netW,rabbitmq_vm_netR,rabbitmq_95th_latency,rabbitmq_cont_cpu5s_avg,rabbitmq_cont_memW5s_avg,rabbitmq_cont_memR5s_avg,rabbitmq_cont_netW5s_avg,rabbitmq_cont_netR5s_avg,ratings_vm_util,ratings_perf_cpi,ratings_perf_llc,ratings_vm_netW,ratings_vm_netR,ratings_95th_latency,ratings_cont_cpu5s_avg,ratings_cont_memW5s_avg,ratings_cont_memR5s_avg,ratings_cont_netW5s_avg,ratings_cont_netR5s_avg,redis_vm_util,redis_perf_cpi,redis_perf_llc,redis_vm_netW,redis_vm_netR,redis_95th_latency,redis_cont_cpu5s_avg,redis_cont_memW5s_avg,redis_cont_memR5s_avg,redis_cont_netW5s_avg,redis_cont_netR5s_avg,shipping_vm_util,shipping_perf_cpi,shipping_perf_llc,shipping_vm_netW,shipping_vm_netR,shipping_95th_latency,shipping_cont_cpu5s_avg,shipping_cont_memW5s_avg,shipping_cont_memR5s_avg,shipping_cont_netW5s_avg,shipping_cont_netR5s_avg,user_vm_util,user_perf_cpi,user_perf_llc,user_vm_netW,user_vm_netR,user_95th_latency,user_cont_cpu5s_avg,user_cont_memW5s_avg,user_cont_memR5s_avg,user_cont_netW5s_avg,user_cont_netR5s_avg,web_vm_util,web_perf_cpi,web_perf_llc,web_vm_netW,web_vm_netR,web_95th_latency,web_cont_cpu5s_avg,web_cont_memW5s_avg,web_cont_memR5s_avg,web_cont_netW5s_avg,web_cont_netR5s_avg
Jun13_blue_25_iperf_high_1112312,2.033333333333333,1.0695204632733335,222338.14285714287,0,0,17.0,0.025976547966699095,0,0,0.0,0.0,26.166666666666668,0.9306307657080033,489020.4285714286,0,0,85.0,0.04524000236665415,0,0,588.4027777777777,479.7361111111111,1.6666666666666667,1.0623488916009034,231926.0,0,0,0,0.0074338856666448325,0,0,0.0,0.0,1.5666666666666667,1.068897772344909,254517.0,0,0,0,0.0064423804667058,0.0,0,0.0,0.0,1.5666666666666667,1.068897772344909,254517.0,0,0,0,0.16581819036673554,0.0,0,57975.86388888888,291.75555555555553,1.2666666666666666,0.9820487079558188,97830.42857142857,0,0,14500.0,0.005834441333293701,0,0,0.0,0.0,1.6,1.013572050206654,279141.28571428574,0,0,0,0.0051559165333552905,0,0,0.7000000000000005,1.848484848484848,1.1333333333333333,1.00389803145666,126664.35714285714,0,0,120.0,0.010852049033345187,0,0,186.01944444444447,221.42499999999998,2.3666666666666667,0.9836897873201588,146837.14285714287,0,0,0,0.0020992464666733214,0,0,0.0,0.0,2.033333333333333,1.0572505177231282,325308.04761904763,0,0,280.0,0.1791270050120268,0,0,8233.575925925927,4159.6185185185195,1.8,1.089380684782846,303875.4285714286,0,0,68.0,0.003278441666664851,0,0,0.0,0.0,2.15,0.9602475762915285,119173.78571428571,0,0,36.0,0.013636145416664172,0,0,33384.40833333333,0.0
Jun13_blue_15_stream_medium_3332332,1.611111111111111,1.0119087875344621,335047.85714285716,0,0,43.0,0.0027034226484542435,0,0,32.63128817073446,2.4757660682550653,27.177777777777777,1.163816752905258,1841172.523809524,0,0,960.0,0.028868633876424563,0,582618.8101626104,0.0,23.696117399848635,2.033333333333333,1.1090909538165055,265421.4285714286,0,0,0,0,0,0,3.853593547390448,10.20759264547317,1.6666666666666665,1.1224283875756953,271042.7142857143,0,0,0,0.001256431413116581,102.39999999999999,0,56.92826902131926,45.97043475147637,1.6666666666666665,1.1224283875756953,271042.7142857143,0,0,0,0.010384657707371046,0.0,0,0.0,0.0,1.711111111111111,0.9856005486984767,299948.6190476191,0,0,4200.0,0.013313088604952356,0,0.0,0.0,115.84366662271158,1.3333333333333333,1.033998197211316,178600.14285714287,0,0,0,0.0013109545116895827,0,0,0.0,0.0,1.0666666666666667,1.0264459044537952,135247.64285714284,0,0,160.0,0.009012631908283025,0,0,86.76580099031118,106.533164145772,1.5666666666666667,0.9864146857841283,120617.14285714286,0,0,0,0.0025523724336497552,0,0,0,136.6117339910234,1.5333333333333332,1.0431223198830517,412959.5238095238,0,0,170.0,0.06906848096728131,0,0,10743.700002556126,5370.896973060874,1.5999999999999999,1.06062292628173,260943.85714285716,0,0,100.0,0.0026792452070105027,0,0,9.31238749009159,10.28290395846445,1.7,0.9660278155090857,149084.42857142858,0,0,92.0,0.004338978074368533,0,0,15686.173102845547,17037.03599742257
Jun13_yellow_15_stream_medium_2112312,43.483333333333334,1.1999295188690775,2171473.0,0,0,48.0,0.07104198111666853,0,270370.1495873016,0.0,0.0,1.7333333333333334,0.9729390873014322,130587.57142857143,0,0,110.0,0.010829391700008273,0,0,0,0,1.4333333333333333,1.0365113606216574,207367.85714285713,0,0,0,0,0,0,0.32121212121212106,1.1818181818181819,1.4333333333333333,1.072586204954415,233042.5,0,0,0,0.003853904533358824,0.0,0,0.0,1.575,1.4333333333333333,1.072586204954415,233042.5,0,0,0,0.1440104412665884,853.3333333333334,0,8923.902777777777,51.44305555555556,1.2666666666666666,0.9820855009446349,327880.71428571426,0,0,15000.0,0,0,0.0,0.0,0.0,1.6,1.0134023237032597,193248.0,0,0,0,0,0,0,0,0,1.1,0.9903627645743818,108616.92857142858,0,0,160.0,0.00900696850001926,0,0,69.53750000000001,87.35833333333333,1.7666666666666666,0.9952139955878961,106358.71428571429,0,0,0,0.0011178710666627013,0,0,0.0,80.38333333333334,1.788888888888889,1.023643917072157,304809.0,0,0,150.0,0.29601820784446314,0,0,71604.85370370369,33582.25555555555,1.8666666666666667,1.0403481073780645,291925.4285714286,0,0,870.0,0.006557788766682884,0,0,0.0,0.0,43.55,1.1959397995752379,2086710.1428571427,0,0,1300.0,0.06872767910000827,0,188962.13333333333,0.0,0.0
Jun13_yellow_25_stream_medium_3112312,1.7,0.9814343477605044,355167.28571428574,0,0,18.0,0.004796223950003053,0,0,20.746666666666666,21.544444444444444,1.4333333333333333,0.9772562247945696,105646.28571428571,0,0,95.0,0.016299982233355572,0,0,0.0,0.0,1.5,1.0519814990477578,243337.14285714287,0,0,0,0,0,0,0.0,0.0,1.5,1.08174452176238,250690.78571428574,0,0,0,0.0025886878500159588,17.066666666666674,0,55.50833333333335,16.411111111111115,1.5,1.08174452176238,250690.78571428574,0,0,0,0.016859077683299497,0.0,0,25581.011111111115,182.0583333333333,82.2,1.4010177636629908,3689411.1428571427,0,0,33000.0,0.06322331239995643,0,134564.9777777778,0,0,1.1666666666666667,1.0308893632264646,227592.7142857143,0,0,0,0,0,0,0.0,0.0,1.0833333333333335,1.0100351562643983,79087.57142857143,0,0,115.0,0.015620509966659786,0,0,34.74722222222223,42.038888888888884,2.2,0.9715402103845648,151585.42857142858,0,0,0,0.0026716323000149107,0,0,95.53333333333332,107.48055555555555,1.8666666666666665,1.0229108633619794,378922.380952381,0,0,120.0,0.11789901746665743,0,0,46154.98333333333,28797.270833333336,1.7666666666666666,1.042680514962255,279578.28571428574,0,0,110.0,0.006238182333330163,0,0,55.855555555555554,43.34166666666666,2.0166666666666666,0.9502940454640328,246370.64285714287,0,0,11.0,0.026410710050011707,0,0.0,65223.24166666667,65212.475
Jun13_green_20_iperf_low_2112312,1.7833333333333334,0.9998733337030572,224981.14285714284,0,0,19.0,0.00852901079999183,0,0,219.18888888888887,163.89722222222224,1.3,0.984905331415211,126646.0,0,0,88.0,0.016448312299993023,0,0,419.00833333333327,0.0,1.5,1.0342674643787872,214190.14285714287,0,0,0,0.004754657999971337,0,0,0.0,0.0,1.4833333333333334,1.0802257099710475,234325.07142857142,0,0,0,0.0023549351833253244,28.444444444444443,0,0.0,0.7583333333333332,1.4833333333333334,1.0802257099710475,234325.07142857142,0,0,0,0.14591578339992944,1399.4666666666665,0,0.0,0.0,1.0333333333333334,0.9777936198422218,109101.71428571429,0,0,20500.0,0,0,0,0,0,1.6,1.0413355688670185,276670.28571428574,0,0,0,0,0,0,0.0,0.0,0.9666666666666667,1.006435857980567,96798.78571428571,0,0,110.0,0.009380033500012059,0,0,46.63055555555555,0.0,1.5333333333333334,0.9909066870624504,127448.0,0,0,0,0.003252913266654408,0.0,0,77.46666666666667,104.33888888888889,1.5777777777777777,1.0501511823034677,312203.3333333333,0,0,180.0,0.07576085289996021,0,0,16165.349999999999,13464.646296296296,1.7,1.0453009874903068,288023.28571428574,0,0,99.0,0.008380885133343932,0,0,0.0,0.0,1.8000000000000003,0.9744767745988263,185413.42857142858,0,0,68.0,0.01097440193334478,0,0,0.0,0.0
Jun13_blue_10_iperf_low_2112312,1.4166666666666665,0.9604874168694562,197867.7857142857,0,0,29.0,0.006815754365613415,0,0,53.179251599831986,34.27787963178919,24.933333333333334,1.1932950940530591,4421965.0,0,0,73.5,0.01789770063089015,0,0,240.63747860683247,191.94130048231872,1.4333333333333333,1.010222866849095,189800.85714285713,0,0,0,0.010544186725896309,0,0,0.0,0.0,1.4666666666666668,1.0536721534695594,234517.21428571426,0,0,0,0,1.284688069541466,0,105.80628654970758,34.18671769981296,1.4666666666666668,1.0536721534695594,234517.21428571426,0,0,0,0.07364770975059509,653.7616639770486,0,18584.172563246506,121.79938847018379,1.2,0.9883340206829111,105583.71428571429,0,0,11000.0,0,0,0,0.0,0.0,1.8,1.0340813415590706,243078.2857142857,0,0,0,0.02393361211568258,0,0,0.0,0.839609993906155,1.15,1.014602838931479,111311.21428571429,0,0,140.0,0.009750630526781474,0,0,111.92426017663942,132.95434695925542,1.7666666666666666,1.0231353485509331,130177.28571428571,0,0,0,0.0021323916264360883,0.0,0,0.0,0.0,1.7333333333333332,1.0343723819156978,263783.8095238095,0,0,82.0,0.09417910793960345,0,0,27265.528818450966,16637.237272651062,1.5,1.0363793347467307,255806.57142857142,0,0,16.0,0,0,0,0,0,1.6666666666666665,0.9694562039722452,167894.07142857142,0,0,20.0,0.0042272871100168165,0,0,0.0,5228.382986180561
Jun13_green_20_stream_medium_1112312,2.2333333333333334,1.036554669598321,228057.14285714287,0,0,17.0,0.02147628753335387,0,0,0.0,343.33611111111117,1.2666666666666666,0.9624375810988557,127460.28571428571,0,0,85.0,0.0013144339000064065,0,0,82.3638888888889,66.60277777777777,1.4666666666666666,1.0303030506456832,195751.2857142857,0,0,0,0,0,0,0.7696969696969699,0.0,1.6333333333333333,1.0672529725200774,236980.42857142858,0,0,0,0.004470177799991385,56.888888888888886,0,0.0,0.0,1.6333333333333333,1.0672529725200774,236980.42857142858,0,0,0,0.13521003440003673,0.0,0,76038.27361111112,452.1555555555556,1.1333333333333333,0.9768029147435227,92541.42857142857,0,0,15500.0,0.02139351176665514,0,0,0.0,0.0,1.3,1.0213192819813504,294039.28571428574,0,0,0,0.05183340070022193,0,0,0,0,1.1333333333333333,1.0191314438301,112531.5,0,0,140.0,0.01099640521666364,0,0,108.00555555555555,127.30555555555556,2.1333333333333333,1.0056520497426742,147726.7142857143,0,0,0,0.00190857653334812,0,0,0.0,0.0,2.1555555555555554,1.0418624227581175,290743.7619047619,0,0,98.0,0.259497515344386,0,0,33772.319444444445,25675.75,2.1,1.034536034927451,251894.0,0,0,93.0,0.0009517765333384876,0,0,0.0,0.0,2.2666666666666666,0.9677253884553372,131122.2142857143,0,0,46.0,0.0,0,0,135868.19523809524,79285.1875
Jun13_green_20_stream_medium_3312312,4.055555555555555,1.2077685143074033,852753.4285714286,0,0,26.5,0.0029630083000000695,0,127288.07619047617,0.0,0.0,1.4666666666666668,1.025304590405727,197604.14285714287,0,0,93.0,0.012904891811107572,0,0,101.13148148148149,86.18888888888888,1.9,1.0768095193027514,227334.7142857143,0,0,0,0,0,0,6.538888888888889,12.08888888888889,1.7999999999999998,1.1161646561229797,334789.85714285716,0,0,0,0.003683052250009194,6.206060606060604,0,113.24166666666666,86.38055555555555,1.7999999999999998,1.1161646561229797,334789.85714285716,0,0,0,0.1295856445333205,0.0,0,11703.762500000003,68.15416666666667,1.3333333333333333,0.9999035401862598,177470.2857142857,0,0,16000.0,0,0,0,0,0,1.6333333333333333,1.0525568875612794,178373.0,0,0,0,0,0,0,0.0,0.0,1.1166666666666667,1.0219199500473999,177966.14285714284,0,0,160.0,0.010604633549981674,0,0,0.0,0.0,2.0,0.9971131507357777,134677.2857142857,0,0,0,0.0013390784000042307,0,0,130.17619047619047,137.42222222222222,4.033333333333333,1.201313326410577,938728.2857142858,0,0,110.0,0.10777386589991997,0,0,25545.019444444446,21942.042592592596,1.5,1.0350976770849776,233669.57142857142,0,0,85.0,0.010354342566673343,0,0,0.0,0.0,2.05,0.9793433115902801,199067.35714285716,0,0,17.0,0.017037725733325716,0,0,0.0,0.0
Jun13_green_20_stream_medium_3322312,3.9666666666666663,1.174705318916269,885680.6666666666,0,0,28.0,0.009467624116678527,0,1.1641532182693481e-10,219.96660052910056,76.77037037037036,1.5333333333333334,1.0537523875543355,257204.42857142855,0,0,110.0,0.012402496566673764,0,0,172.32222222222222,145.42962962962963,1.5666666666666667,1.0800535467564694,240788.85714285713,0,0,0,0,0,0,0.0,0.0,1.8166666666666669,1.123701826093748,376791.7857142857,0,0,0,0.004417043249994398,50.06222222222223,0,40.82222222222222,27.090277777777782,1.8166666666666669,1.123701826093748,376791.7857142857,0,0,0,0.13326404013323553,643.6571428571431,0,38206.94444444444,319.2361111111111,1.4666666666666668,1.0108076002626727,144670.64285714284,0,0,7150.0,0.06216088831666783,0,0.0,127.02916666666667,757.7027777777778,1.3,1.0253882976367013,292423.5714285714,0,0,0,0.001125308799964841,0,0,4.9,5.016666666666667,1.1666666666666667,1.0256646237296558,183522.5,0,0,160.0,0.011443111633335926,0,0,133.04444444444442,257.92499999999995,2.2,1.0067942289839587,164970.7142857143,0,0,0,0.0003822550333400917,0.0,0,0.0,0.0,4.3,1.202070396648329,922968.3333333334,0,0,150.0,0.08904522234438951,0,0,26501.85925925926,14266.300000000001,2.066666666666667,1.0379025241558992,362568.14285714284,0,0,32.0,0.005477997433354176,0,0,0.0,0.0,1.9000000000000001,0.9804480341034699,208922.42857142858,0,0,51.0,0.0023523082666694487,0,0,29346.602083333335,45548.104166666664
Jun13_blue_15_stream_high_3322312,1.9444444444444446,0.9969527066926697,342174.1904761905,0,0,22.5,0.007276482955122684,0,0,0.0,26.66560977054911,29.28888888888889,1.2280357656923118,2887402.857142857,0,0,2500.0,0.0650769743240284,0,0.0,116.79546825133276,89.3061055925268,1.5333333333333334,1.1069809527920798,265091.0,0,0,0,0.00814131888128812,0,0,0.0,0.0,1.5333333333333334,1.1188051361222058,275859.2142857143,0,0,0,0.0017823115846106216,93.01857510369086,0,0.0,0.0,1.5333333333333334,1.1188051361222058,275859.2142857143,0,0,0,0.10578914307108242,0.0,0,24273.463508467456,148.26751350010866,1.35,1.0005918189263383,280484.85714285716,0,0,6600.0,0.02100337329466851,0,43342.77509744468,0.0,78.7121838464373,1.2666666666666666,1.0220087920341006,248035.7142857143,0,0,0,0,0,0,0.0,0.0,1.0,1.0238987070006624,117422.71428571429,0,0,110.0,0.0071578872674593974,0,0,0.0,0.0,1.6666666666666667,1.0026139951890796,169638.42857142858,0,0,0,0.0010168516162308893,0,0,0,0,1.777777777777778,1.0388437363195315,348613.9047619048,0,0,180.0,0.1289849189001327,0,0,56859.24761417545,31300.81783953332,1.6333333333333333,1.0574138466538092,318908.14285714284,0,0,97.0,0.006233090552267642,0,0,145.76370434092667,132.5208828011737,1.8166666666666667,0.9631436450585948,222028.2142857143,0,0,19.0,0.003502259410594684,0,0,0.0,0.0
